"date","denver_n_reviews","ash_n_reviews","hawaii_n_reviews"
2009 Feb,2,0,0
2009 Mar,1,0,0
2009 Apr,1,0,0
2009 May,2,0,0
2009 Jun,4,0,0
2009 Jul,2,0,0
2009 Aug,2,0,0
2009 Sep,3,0,0
2009 Oct,4,0,0
2009 Nov,1,0,0
2009 Dec,1,0,0
2010 Jan,1,0,1
2010 Feb,0,0,1
2010 Mar,2,0,0
2010 Apr,4,0,1
2010 May,6,0,1
2010 Jun,5,0,2
2010 Jul,8,0,6
2010 Aug,15,0,3
2010 Sep,9,0,10
2010 Oct,8,0,6
2010 Nov,8,0,5
2010 Dec,1,0,15
2011 Jan,4,0,14
2011 Feb,3,0,12
2011 Mar,5,0,22
2011 Apr,11,0,15
2011 May,12,0,25
2011 Jun,11,0,21
2011 Jul,21,1,23
2011 Aug,19,1,30
2011 Sep,29,5,42
2011 Oct,16,3,49
2011 Nov,11,3,48
2011 Dec,15,4,54
2012 Jan,16,1,56
2012 Feb,13,1,70
2012 Mar,18,8,59
2012 Apr,19,9,73
2012 May,21,9,117
2012 Jun,27,17,76
2012 Jul,39,20,85
2012 Aug,43,14,101
2012 Sep,49,10,116
2012 Oct,38,12,124
2012 Nov,21,16,119
2012 Dec,16,22,161
2013 Jan,15,22,197
2013 Feb,20,20,218
2013 Mar,27,41,255
2013 Apr,33,36,171
2013 May,45,53,228
2013 Jun,63,40,196
2013 Jul,67,66,239
2013 Aug,63,61,286
2013 Sep,67,75,291
2013 Oct,70,132,290
2013 Nov,43,82,274
2013 Dec,34,71,370
2014 Jan,47,39,447
2014 Feb,39,50,406
2014 Mar,84,107,490
2014 Apr,67,131,407
2014 May,92,129,450
2014 Jun,85,149,407
2014 Jul,147,196,586
2014 Aug,172,246,684
2014 Sep,170,235,676
2014 Oct,194,268,735
2014 Nov,134,216,680
2014 Dec,85,171,817
2015 Jan,125,161,994
2015 Feb,109,158,893
2015 Mar,156,246,1034
2015 Apr,175,283,916
2015 May,253,374,1126
2015 Jun,292,409,1077
2015 Jul,351,473,1267
2015 Aug,368,531,1348
2015 Sep,375,510,1266
2015 Oct,357,658,1458
2015 Nov,315,505,1283
2015 Dec,250,424,1696
2016 Jan,314,320,1921
2016 Feb,325,340,1900
2016 Mar,403,508,1901
2016 Apr,442,559,1950
2016 May,663,716,2238
2016 Jun,764,774,2143
2016 Jul,818,933,2674
2016 Aug,899,930,2879
2016 Sep,960,888,2941
2016 Oct,882,1320,2998
2016 Nov,646,974,2718
2016 Dec,554,839,3193
2017 Jan,790,752,3805
2017 Feb,702,730,3339
2017 Mar,980,1139,3912
2017 Apr,1028,1315,3813
2017 May,1373,1424,4286
2017 Jun,1499,1352,3806
2017 Jul,1701,1679,4773
2017 Aug,1684,1599,4776
2017 Sep,1565,1476,4599
2017 Oct,1601,2114,4726
2017 Nov,1113,1508,4418
2017 Dec,1012,1492,5546
2018 Jan,1409,1179,6539
2018 Feb,1139,1158,5965
2018 Mar,1635,1935,6716
2018 Apr,1680,2156,6488
2018 May,1885,2257,7839
2018 Jun,2160,2389,6611
2018 Jul,2623,2935,7611
2018 Aug,2517,2663,7337
2018 Sep,2517,2664,7316
2018 Oct,2360,3372,7770
2018 Nov,1720,2607,7254
2018 Dec,1508,2362,8188
2019 Jan,1891,1997,9593
2019 Feb,1892,1878,9122
2019 Mar,2506,3184,10152
2019 Apr,2648,3213,10165
2019 May,3103,3466,11469
2019 Jun,3447,3626,10648
2019 Jul,3620,4034,12188
2019 Aug,3761,3588,12325
2019 Sep,3747,4115,11546
2019 Oct,3580,4481,11978
2019 Nov,2548,3946,11077
2019 Dec,2164,3632,12606
2020 Jan,2236.55555555556,3651,12694.8125
2020 Feb,2309.11111111111,3670,12783.625
2020 Mar,2381.66666666667,3689,12872.4375
2020 Apr,2454.22222222222,3708,12961.25
2020 May,2526.77777777778,3727,13050.0625
2020 Jun,2599.33333333333,3746,13138.875
2020 Jul,2671.88888888889,3765,13227.6875
2020 Aug,2744.44444444444,3784,13316.5
2020 Sep,2817,3803,13405.3125
2020 Oct,2952,4917,13494.125
2020 Nov,2493,4480,13582.9375
2020 Dec,2296,3686,13671.75
2021 Jan,2427,3288,13760.5625
2021 Feb,2210,2841,13849.375
2021 Mar,2874,3876,13938.1875
2021 Apr,3233,4652,14027
2021 May,4121,5405,18124
2021 Jun,4179,5413,18594
2021 Jul,4915,5969,20467
2021 Aug,5216,5939,21552
2021 Sep,4927,5347,18113
2021 Oct,4786,7249,18196
2021 Nov,3788,5900,18340
2021 Dec,3322,5040,20551
2022 Jan,3605,3576,21470
2022 Feb,3428,3502,20334
2022 Mar,4377,5551,24077
2022 Apr,4877,5939,24225
2022 May,5937,6531,26697
2022 Jun,6386,6341,24413
2022 Jul,6862,6963,26556
2022 Aug,6345,5571,26475
2022 Sep,6054,5932,24658
2022 Oct,6281,8167,24657
2022 Nov,4318,5965,21656
